"GISAID.total.submissions","country","percent"
41755536,"United Kingdom",26.85
14997570,"Germany",9.644
10974890,"Japan",7.057
10447252,"Denmark",6.718
9260065,"France",5.955
7503502,"Canada",4.825
4169943,"Austria",2.681
3612300,"Australia",2.323
3232211,"Sweden",2.078
3130419,"Spain",2.013
3083940,"Brazil",1.983
2885504,"India",1.855
2705407,"Israel",1.74
2666439,"Belgium",1.715
2385245,"Netherlands",1.534
2379194,"South Korea",1.53
2348147,"Italy",1.51
1896612,"Switzerland",1.22
1673937,"Ireland",1.076
1263573,"Poland",0.813
